ID,Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy Price,Sell Price,Miles Price,Color 1,Color 2,Size,Interact,Tag,Outdoor,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Speaker Type,Lighting Type
11,air circulator,Green,NA,NA,NA,No,No,No,,1100,275,,Green,Gray,1x1,Yes,Fan,Yes,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Does not play music,No lighting
12,air circulator,Yellow,NA,NA,NA,No,No,No,,1100,275,,Yellow,Gray,1x1,Yes,Fan,Yes,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Does not play music,No lighting
13,alto saxophone,NA,NA,NA,NA,No,No,No,,3400,850,,Yellow,Yellow,1x1,Yes,Musical Instrument,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",music,None,None,None,Does not play music,No lighting
14,anatomical model,NA,NA,NA,NA,No,No,No,,3500,875,,Colorful,Beige,1x1,No,Hospital,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,expensive,None,None,Does not play music,No lighting
15,anchor statue,Black,Color,NA,NA,No,Yes,No,2,,1400,,Black,Beige,1x1,No,Seaside,Yes,Fishing Tourney,,ocean,None,None,None,Does not play music,No lighting
16,anchor statue,Silver,Color,NA,NA,No,Yes,No,2,,1400,,Gray,Beige,1x1,No,Seaside,Yes,Fishing Tourney,,ocean,None,None,None,Does not play music,No lighting
17,anchor statue,Gold,Color,NA,NA,No,Yes,No,2,,1400,,Brown,Beige,1x1,No,Seaside,Yes,Fishing Tourney,,ocean,None,None,None,Does not play music,No lighting
18,anchor statue,White,Color,NA,NA,No,Yes,No,2,,1400,,White,Beige,1x1,No,Seaside,Yes,Fishing Tourney,,ocean,None,None,None,Does not play music,No lighting
19,anchor statue,Blue,Color,NA,NA,No,Yes,No,2,,1400,,Blue,White,1x1,No,Seaside,Yes,Fishing Tourney,,ocean,None,None,None,Does not play music,No lighting
20,anchor statue,Retro,Color,NA,NA,No,Yes,No,2,,1400,,Brown,Gray,1x1,No,Seaside,Yes,Fishing Tourney,,ocean,None,None,None,Does not play music,No lighting
21,angled signpost,Home,Navigation,NA,NA,Yes,Yes,No,1,,600,,Beige,Brown,1x1,No,Vehicle,Yes,Crafting,,garden,None,None,None,Does not play music,No lighting
22,angled signpost,Forest,Navigation,NA,NA,Yes,Yes,No,1,,600,,Beige,Brown,1x1,No,Vehicle,Yes,Crafting,,garden,None,None,None,Does not play music,No lighting
23,angled signpost,Fishing Spot,Navigation,NA,NA,Yes,Yes,No,1,,600,,Beige,Brown,1x1,No,Vehicle,Yes,Crafting,,garden,None,None,None,Does not play music,No lighting
24,angled signpost,Resident Services,Navigation,NA,NA,Yes,Yes,No,1,,600,,Beige,Brown,1x1,No,Vehicle,Yes,Crafting,,garden,None,None,None,Does not play music,No lighting
25,angled signpost,Airport,Navigation,NA,NA,Yes,Yes,No,1,,600,,Beige,Brown,1x1,No,Vehicle,Yes,Crafting,,garden,None,None,None,Does not play music,No lighting
26,angled signpost,Shop,Navigation,NA,NA,Yes,Yes,No,1,,600,,Beige,Brown,1x1,No,Vehicle,Yes,Crafting,,garden,None,None,None,Does not play music,No lighting
27,angled signpost,Tailors,Navigation,NA,NA,Yes,Yes,No,1,,600,,Beige,Brown,1x1,No,Vehicle,Yes,Crafting,,garden,None,None,None,Does not play music,No lighting
28,angled signpost,Museum,Navigation,NA,NA,Yes,Yes,No,1,,600,,Beige,Brown,1x1,No,Vehicle,Yes,Crafting,,garden,None,None,None,Does not play music,No lighting
29,antique bed,Brown,NA,NA,NA,No,No,No,,28000,7000,,Brown,White,2x2,Yes,Bed,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
30,antique bed,Natural,NA,NA,NA,No,No,No,,28000,7000,,Beige,White,2x2,Yes,Bed,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
31,antique bed,Black,NA,NA,NA,No,No,No,,28000,7000,,Black,White,2x2,Yes,Bed,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
32,antique bureau,Brown,NA,NA,NA,No,No,No,,20000,5000,,Brown,Brown,1x1,Yes,Desk,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
33,antique bureau,Natural,NA,NA,NA,No,No,No,,20000,5000,,Beige,Beige,1x1,Yes,Desk,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
34,antique bureau,Black,NA,NA,NA,No,No,No,,20000,5000,,Black,Black,1x1,Yes,Desk,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
35,antique chair,Brown,NA,NA,NA,No,No,No,,10000,2500,,Brown,White,1x1,Yes,Chair,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
36,antique chair,Natural,NA,NA,NA,No,No,No,,10000,2500,,Beige,White,1x1,Yes,Chair,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
37,antique chair,Black,NA,NA,NA,No,No,No,,10000,2500,,Black,White,1x1,Yes,Chair,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
38,antique clock,Brown,NA,NA,NA,No,No,No,,44000,11000,,Brown,Yellow,1x1,Yes,Clock,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
39,antique clock,Natural,NA,NA,NA,No,No,No,,44000,11000,,Beige,Yellow,1x1,Yes,Clock,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
40,antique clock,Black,NA,NA,NA,No,No,No,,44000,11000,,Black,Yellow,1x1,Yes,Clock,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
41,antique console table,Brown,NA,NA,NA,No,No,No,,17000,4250,,Brown,Brown,2x1,No,Table,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
42,antique console table,Natural,NA,NA,NA,No,No,No,,17000,4250,,Beige,Beige,2x1,No,Table,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
43,antique console table,Black,NA,NA,NA,No,No,No,,17000,4250,,Black,Black,2x1,No,Table,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
44,antique mini table,Brown,NA,NA,NA,No,No,No,,6700,1675,,Brown,White,1x1,No,Table,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
45,antique mini table,Natural,NA,NA,NA,No,No,No,,6700,1675,,Beige,White,1x1,No,Table,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
46,antique mini table,Black,NA,NA,NA,No,No,No,,6700,1675,,Black,White,1x1,No,Table,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
47,antique table,Brown,NA,NA,NA,No,No,No,,25000,6250,,Brown,Brown,2x2,No,Table,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
48,antique table,Natural,NA,NA,NA,No,No,No,,25000,6250,,Beige,Beige,2x2,No,Table,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
49,antique table,Black,NA,NA,NA,No,No,No,,25000,6250,,Black,Black,2x2,No,Table,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
50,antique vanity,Brown,NA,NA,NA,No,No,No,,31000,7750,,Brown,Light blue,2x1,Yes,Dresser,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
51,antique vanity,Natural,NA,NA,NA,No,No,No,,31000,7750,,Beige,Light blue,2x1,Yes,Dresser,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
52,antique vanity,Black,NA,NA,NA,No,No,No,,31000,7750,,Black,Light blue,2x1,Yes,Dresser,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
53,antique wardrobe,Brown,NA,NA,NA,No,No,No,,37000,9250,,Brown,Brown,2x1,Wardrobe,Chest,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
54,antique wardrobe,Natural,NA,NA,NA,No,No,No,,37000,9250,,Beige,Beige,2x1,Wardrobe,Chest,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
55,antique wardrobe,Black,NA,NA,NA,No,No,No,,37000,9250,,Black,Black,2x1,Wardrobe,Chest,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Does not play music,No lighting
56,apple chair,Red apple,Fruit type,NA,NA,Yes,Yes,No,4,,2480,,Red,Yellow,1x1,Yes,Chair,No,Crafting,,fancy,None,fruits,apple,Does not play music,No lighting
57,apple chair,Green apple,Fruit type,NA,NA,Yes,Yes,No,4,,2480,,Green,Yellow,1x1,Yes,Chair,No,Crafting,,fancy,None,fruits,apple,Does not play music,No lighting
58,Aquarius urn,NA,NA,NA,NA,Yes,No,No,,,22125,,White,Yellow,1x1,No,Bathroom Things,No,Crafting,,expensive,bathroom,stars,None,Does not play music,No lighting
59,arcade combat game,NA,NA,NA,NA,No,No,No,,64000,16000,,White,Blue,1x1,Yes,Toy,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",facility,shop,None,None,Does not play music,Monitor
60,arcade fighting game,NA,NA,NA,NA,No,No,No,,64000,16000,,White,Red,1x1,Yes,Toy,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",facility,shop,None,None,Does not play music,Monitor
61,arcade mahjong game,NA,NA,NA,NA,No,No,No,,64000,16000,,White,Green,1x1,Yes,Toy,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",facility,shop,None,None,Does not play music,Monitor
62,arcade seat,Red,NA,NA,NA,No,No,No,,1300,325,,Red,Gray,1x1,Yes,Chair,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",facility,shop,None,None,Does not play music,No lighting
63,arcade seat,Gray,NA,NA,NA,No,No,No,,1300,325,,Gray,Gray,1x1,Yes,Chair,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",facility,shop,None,None,Does not play music,No lighting
64,arcade seat,Blue,NA,NA,NA,No,No,No,,1300,325,,Blue,Gray,1x1,Yes,Chair,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",facility,shop,None,None,Does not play music,No lighting
65,Aries rocking chair,NA,NA,NA,NA,Yes,No,No,,,12125,,White,Yellow,1x1,Yes,Toy,No,Crafting,,expensive,fancy,stars,None,Does not play music,No lighting
66,artisanal bug cage,NA,NA,NA,NA,No,No,No,,,450,,Brown,Brown,2x1,Wardrobe,Ranch,Yes,Bug-Off,,garden,facility,None,None,Does not play music,No lighting
67,asteroid,NA,NA,NA,NA,Yes,No,No,,,4000,,Black,Black,1x1,Yes,Space,Yes,Crafting,,space,facility,None,None,Does not play music,No lighting
68,astronaut suit,NA,NA,NA,NA,Yes,No,No,,,6250,,White,Black,1x1,No,Space,Yes,Crafting,,space,None,None,None,Does not play music,No lighting
69,automatic washer,White,NA,NA,NA,No,No,No,,4500,1125,,White,White,1x1,Yes,Home Appliances,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Does not play music,No lighting
70,automatic washer,Pink,NA,NA,NA,No,No,No,,4500,1125,,Red,White,1x1,Yes,Home Appliances,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Does not play music,No lighting
71,automatic washer,Blue,NA,NA,NA,No,No,No,,4500,1125,,Blue,White,1x1,Yes,Home Appliances,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Does not play music,No lighting
72,automatic washer,Green,NA,NA,NA,No,No,No,,4500,1125,,Green,White,1x1,Yes,Home Appliances,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Does not play music,No lighting
73,automatic washer,Yellow,NA,NA,NA,No,No,No,,4500,1125,,Yellow,White,1x1,Yes,Home Appliances,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Does not play music,No lighting
74,automatic washer,Black,NA,NA,NA,No,No,No,,4500,1125,,Black,Black,1x1,Yes,Home Appliances,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Does not play music,No lighting
75,baby chair,Red,NA,Bear,Cushion,No,No,Yes,1,1200,300,,Red,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
76,baby chair,Red,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,,Red,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
77,baby chair,Red,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,,Red,Orange,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
78,baby chair,Red,NA,Train,Cushion,No,No,Yes,1,1200,300,,Red,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
79,baby chair,Red,NA,Paw print,Cushion,No,No,Yes,1,1200,300,,Red,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
80,baby chair,Pink,NA,Bear,Cushion,No,No,Yes,1,1200,300,,Pink,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
81,baby chair,Pink,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,,Pink,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
82,baby chair,Pink,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,,Pink,Orange,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
83,baby chair,Pink,NA,Train,Cushion,No,No,Yes,1,1200,300,,Pink,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
84,baby chair,Pink,NA,Paw print,Cushion,No,No,Yes,1,1200,300,,Pink,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
85,baby chair,Yellow,NA,Bear,Cushion,No,No,Yes,1,1200,300,,Yellow,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
86,baby chair,Yellow,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,,Yellow,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
87,baby chair,Yellow,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,,Yellow,Orange,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
88,baby chair,Yellow,NA,Train,Cushion,No,No,Yes,1,1200,300,,Yellow,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
89,baby chair,Yellow,NA,Paw print,Cushion,No,No,Yes,1,1200,300,,Yellow,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
90,baby chair,Green,NA,Bear,Cushion,No,No,Yes,1,1200,300,,Green,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
91,baby chair,Green,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,,Green,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
92,baby chair,Green,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,,Green,Orange,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
93,baby chair,Green,NA,Train,Cushion,No,No,Yes,1,1200,300,,Green,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
94,baby chair,Green,NA,Paw print,Cushion,No,No,Yes,1,1200,300,,Green,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
95,baby chair,Blue,NA,Bear,Cushion,No,No,Yes,1,1200,300,,Blue,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
96,baby chair,Blue,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,,Blue,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
97,baby chair,Blue,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,,Blue,Orange,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
98,baby chair,Blue,NA,Train,Cushion,No,No,Yes,1,1200,300,,Blue,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
99,baby chair,Blue,NA,Paw print,Cushion,No,No,Yes,1,1200,300,,Blue,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
100,baby chair,White,NA,Bear,Cushion,No,No,Yes,1,1200,300,,White,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
101,baby chair,White,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,,White,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
102,baby chair,White,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,,White,Orange,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
103,baby chair,White,NA,Train,Cushion,No,No,Yes,1,1200,300,,White,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
104,baby chair,White,NA,Paw print,Cushion,No,No,Yes,1,1200,300,,White,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
105,baby chair,Black,NA,Bear,Cushion,No,No,Yes,1,1200,300,,Black,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
106,baby chair,Black,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,,Black,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
107,baby chair,Black,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,,Black,Orange,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
108,baby chair,Black,NA,Train,Cushion,No,No,Yes,1,1200,300,,Black,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
109,baby chair,Black,NA,Paw print,Cushion,No,No,Yes,1,1200,300,,Black,Colorful,1x1,Yes,Chair,No,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Does not play music,No lighting
110,bamboo basket,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,2,,1120,,Green,Green,1x1,No,Japanese Style,No,Crafting,,zen-style,None,bamboo,None,Does not play music,No lighting
111,bamboo basket,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,2,,1120,,Beige,Yellow,1x1,No,Japanese Style,No,Crafting,,zen-style,None,bamboo,None,Does not play music,No lighting
112,bamboo basket,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,2,,1120,,Brown,Green,1x1,No,Japanese Style,No,Crafting,,zen-style,None,bamboo,None,Does not play music,No lighting
113,bamboo bench,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,2,,1280,,Green,Green,2x1,Yes,Sofa,Yes,Crafting,,zen-style,None,bamboo,None,Does not play music,No lighting
114,bamboo bench,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,2,,1280,,Yellow,Yellow,2x1,Yes,Sofa,Yes,Crafting,,zen-style,None,bamboo,None,Does not play music,No lighting
115,bamboo bench,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,2,,1280,,Brown,Brown,2x1,Yes,Sofa,Yes,Crafting,,zen-style,None,bamboo,None,Does not play music,No lighting
116,bamboo doll,NA,NA,NA,NA,Yes,No,No,,,2400,,Green,Green,1x1,Yes,Toy,No,Crafting,,zen-style,None,bamboo,None,Does not play music,No lighting
117,bamboo floor lamp,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,2,,1280,,Green,Green,1x1,Yes,Lamp,No,Crafting,,zen-style,None,bamboo,None,Does not play music,Fluorescent
118,bamboo floor lamp,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,2,,1280,,Yellow,Yellow,1x1,Yes,Lamp,No,Crafting,,zen-style,None,bamboo,None,Does not play music,Fluorescent
119,bamboo floor lamp,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,2,,1280,,Brown,Brown,1x1,Yes,Lamp,No,Crafting,,zen-style,None,bamboo,None,Does not play music,Fluorescent
120,bamboo noodle slide,NA,NA,NA,NA,Yes,No,No,,,3160,,Green,Brown,3x1,Yes,Japanese Style,Yes,Crafting,,zen-style,None,bamboo,None,Does not play music,No lighting
121,bamboo partition,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,3,,2020,,Green,White,2x0.5,No,Screen,No,Crafting,,zen-style,None,bamboo,None,Does not play music,No lighting
122,bamboo partition,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,3,,2020,,Yellow,White,2x0.5,No,Screen,No,Crafting,,zen-style,None,bamboo,None,Does not play music,No lighting
123,bamboo partition,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,3,,2020,,Brown,Gray,2x0.5,No,Screen,No,Crafting,,zen-style,None,bamboo,None,Does not play music,No lighting
124,bamboo shelf,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,4,,2400,,Green,White,2x1,No,Shelf,No,Crafting,,zen-style,None,bamboo,None,Does not play music,No lighting
125,bamboo shelf,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,4,,2400,,Yellow,Purple,2x1,No,Shelf,No,Crafting,,zen-style,None,bamboo,None,Does not play music,No lighting
